Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
1,Reliance Industries Ltd.,575873.00,43.36,39588.00,9.74,949280.41
2,Indian Oil Corporation Ltd.,532247.59,24.99,17376.70,-21.69,125768.47
3,Oil And Natural Gas Corporation Ltd.,432962.31,29.97,30494.96,37.95,172135.97
4,State Bank of India,330687.36,7.88,2299.64,LP,290140.98
5,Tata Motors Ltd.,305280.69,2.06,-28826.23,PL,48588.33
6,Bharat Petroleum Corporation Ltd.,301200.45,26.10,7802.30,-13.39,111550.97
7,Hindustan Petroleum Corporation Ltd.,277816.42,24.94,6690.63,-7.31,45237.26
8,Rajesh Exports Ltd.,175830.66,-6.35,1292.13,2.08,20200.00
9,Tata Steel Ltd.,159738.75,15.42,10218.33,-23.94,45758.52
10,Coal India Ltd.,153127.54,14.04,17461.85,148.09,126223.50
11,Tata Consultancy Services Ltd.,150774.00,18.96,31472.00,21.86,799565.14
12,Larsen & Toubro Ltd.,143153.37,17.88,8905.13,20.83,195557.04
13,Hindalco Industries Ltd.,131669.85,11.16,5495.67,-9.65,44147.64
14,ICICI Bank Ltd.,131306.50,10.37,4254.24,-44.84,318508.23
15,HDFC Bank Ltd.,124107.79,22.46,22332.43,20.65,691980.53
16,Mahindra & Mahindra Ltd.,107752.09,11.71,5315.46,-29.23,70212.83
17,Housing Development Finance Corporation Ltd.,103584.69,20.79,16231.76,35.49,386084.94
18,NTPC Ltd.,98274.63,4.80,12640.02,19.88,116721.18
19,Vedanta Ltd.,96386.00,-5.65,7065.00,-31.69,55138.16
20,Maruti Suzuki India Ltd.,88785.80,8.25,7649.10,-2.93,218163.01
21,Bharti Airtel Ltd.,86581.30,1.08,409.50,-62.74,207156.70
22,Infosys Ltd.,85557.00,15.88,15404.00,-3.90,300107.97
23,JSW Steel Ltd.,84961.00,17.77,7639.00,22.93,60545.42
24,GAIL (India) Ltd.,78181.88,40.95,6545.74,36.40,57452.42
25,Grasim Industries Ltd.,73851.44,29.51,1771.92,-33.85,51164.41
26,Axis Bank Ltd.,70232.40,20.10,5038.59,1005.39,207918.76
27,Steel Authority of India (SAIL) Ltd.,67690.88,14.68,2348.71,LP,15922.16
28,Motherson Sumi Systems Ltd.,63856.20,12.80,1613.10,1.01,41390.60
29,Mangalore Refinery And Petrochemicals Ltd.,63600.40,28.93,340.04,-82.94,8561.01
30,Wipro Ltd.,61632.70,8.06,9003.70,12.51,150850.20
31,HCL Technologies Ltd.,61370.00,18.48,10120.00,16.04,154495.98
32,Bank of Baroda,60793.30,12.48,1100.10,LP,39026.87
33,Punjab National Bank,59514.52,3.31,-9570.11,LL,29309.38
34,Canara Bank,54269.14,11.34,601.85,LP,16129.51
35,Power Finance Corporation Ltd.,54201.08,11.37,9920.86,48.32,30178.10
36,ITC Ltd.,50538.17,10.58,12592.33,11.72,311546.85
37,Jindal Steel & Power Ltd.,46981.42,40.86,-1645.34,LL,14789.49
38,Redington (India) Ltd.,46599.38,11.91,507.78,5.43,4475.14
39,Bank of India,46268.85,4.78,-5426.57,LL,23430.80
40,Kotak Mahindra Bank Ltd.,45979.11,18.46,7204.13,16.18,305362.32
41,General Insurance Corporation of India,45073.27,3.50,2757.57,-12.33,47025.81
42,SBI Life Insurance Company Ltd.,44780.35,30.84,1326.80,15.33,97023.50
43,Bajaj Finserv Ltd.,42606.93,29.65,3219.04,21.46,142966.52
44,ICICI Prudential Life Insurance Company Ltd.,42053.87,7.93,1138.93,-29.66,73315.07
45,Adani Enterprises Ltd.,41579.22,13.71,717.14,-5.30,22678.43
46,Chennai Petroleum Corporation Ltd.,41405.16,27.09,-205.35,PL,2119.64
47,Vodafone Idea Ltd.,41367.70,42.87,-14603.90,LL,14637.81
48,Hindustan Unilever Ltd.,39860.00,10.67,6054.00,16.11,451807.29
49,Union Bank of India,39355.38,2.45,-2922.35,LL,18142.00
50,Petronet LNG Ltd.,38920.85,25.76,2230.56,5.69,41521.50
51,HDFC Life Insurance Company Ltd.,38896.41,19.53,1277.93,15.42,117667.49
52,UltraTech Cement Ltd.,37817.81,19.80,2434.72,9.56,118658.37
53,Power Grid Corporation of India Ltd.,36149.01,6.23,10033.52,22.30,101447.07
54,Tech Mahindra Ltd.,35276.30,9.59,4297.60,13.10,73731.02
